id,headline,author,content,source,published_date,engagement_score,clicks,read_time,sentiment_score,is_fake
1,Headline 1,Anonymous,Content of news article 1,Blog,2019-01-01 00:00:00,97,3318,13,0.39397871463588285,0
2,Headline 2,Jane Smith,Content of news article 2,Independent,2019-01-01 06:00:00,34,1943,4,0.3540253089892693,0
3,Headline 3,Reporter X,Content of news article 3,Blog,2019-01-01 12:00:00,84,1817,2,0.6370019997840575,1
4,Headline 4,Anonymous,Content of news article 4,News Source 1,2019-01-01 18:00:00,52,1022,9,0.21186044648728175,0
5,Headline 5,Anonymous,Content of news article 5,News Source 1,2019-01-02 00:00:00,8,2801,1,0.4194114891373546,1
6,Headline 6,Jane Smith,Content of news article 6,News Source 1,2019-01-02 06:00:00,49,387,8,0.47391761562241097,1
7,Headline 7,John Doe,Content of news article 7,Blog,2019-01-02 12:00:00,35,131,3,0.18656978897232257,0
8,Headline 8,Reporter X,Content of news article 8,Blog,2019-01-02 18:00:00,49,4798,12,0.17983216043523909,1
9,Headline 9,John Doe,Content of news article 9,Blog,2019-01-03 00:00:00,95,2870,14,0.2494610191250275,1
10,Headline 10,Anonymous,Content of news article 10,News Source 2,2019-01-03 06:00:00,60,2510,3,0.48658858528222715,0
11,Headline 11,Jane Smith,Content of news article 11,News Source 2,2019-01-03 12:00:00,83,527,6,-0.7775908402388352,0
12,Headline 12,John Doe,Content of news article 12,Blog,2019-01-03 18:00:00,84,1065,11,0.5181392199694796,1
13,Headline 13,John Doe,Content of news article 13,News Source 2,2019-01-04 00:00:00,15,1075,7,0.5117424485035791,1
14,Headline 14,Reporter X,Content of news article 14,News Source 2,2019-01-04 06:00:00,50,317,13,0.023689643611791045,0
15,Headline 15,Jane Smith,Content of news article 15,News Source 2,2019-01-04 12:00:00,25,2689,8,0.6341702360893358,0
16,Headline 16,Reporter X,Content of news article 16,Blog,2019-01-04 18:00:00,19,3852,10,0.07963566220700269,1
17,Headline 17,Anonymous,Content of news article 17,Independent,2019-01-05 00:00:00,64,2259,3,0.1697760438265692,0
18,Headline 18,John Doe,Content of news article 18,Independent,2019-01-05 06:00:00,60,1765,2,-0.7948569070735971,1
19,Headline 19,Anonymous,Content of news article 19,Independent,2019-01-05 12:00:00,30,2940,11,-0.24501668301854318,0
20,Headline 20,John Doe,Content of news article 20,Independent,2019-01-05 18:00:00,100,4524,7,-0.6216292845332889,1
21,Headline 21,John Doe,Content of news article 21,News Source 1,2019-01-06 00:00:00,66,4983,12,0.8666897200660344,1
22,Headline 22,Reporter X,Content of news article 22,Blog,2019-01-06 06:00:00,85,1160,6,-0.31012879259049786,1
23,Headline 23,Anonymous,Content of news article 23,News Source 2,2019-01-06 12:00:00,46,2421,12,0.7693771976286803,0
24,Headline 24,Anonymous,Content of news article 24,Blog,2019-01-06 18:00:00,36,1027,13,-0.7508260877545356,0
25,Headline 25,Reporter X,Content of news article 25,News Source 2,2019-01-07 00:00:00,36,2949,3,-0.05104129015003589,1
26,Headline 26,Jane Smith,Content of news article 26,Blog,2019-01-07 06:00:00,69,820,12,-0.3097834127032564,0
27,Headline 27,Reporter X,Content of news article 27,News Source 1,2019-01-07 12:00:00,53,3724,15,-0.7873233315358847,1
28,Headline 28,Reporter X,Content of news article 28,News Source 2,2019-01-07 18:00:00,0,4916,5,-0.5594821722580066,1
29,Headline 29,Jane Smith,Content of news article 29,News Source 1,2019-01-08 00:00:00,8,513,1,-0.9804949026859511,1
30,Headline 30,John Doe,Content of news article 30,News Source 1,2019-01-08 06:00:00,90,822,15,-0.5056089551489218,0
31,Headline 31,Anonymous,Content of news article 31,News Source 1,2019-01-08 12:00:00,69,174,11,0.6056738635493251,0
32,Headline 32,Jane Smith,Content of news article 32,Independent,2019-01-08 18:00:00,72,1809,4,0.686312693183609,1
33,Headline 33,Reporter X,Content of news article 33,News Source 1,2019-01-09 00:00:00,68,3713,13,-0.3477123511985625,1
34,Headline 34,Anonymous,Content of news article 34,Blog,2019-01-09 06:00:00,39,1762,3,0.018500352105454754,0
35,Headline 35,Anonymous,Content of news article 35,Independent,2019-01-09 12:00:00,33,544,13,-0.21285425318309903,1
36,Headline 36,Reporter X,Content of news article 36,News Source 2,2019-01-09 18:00:00,15,373,3,0.45962622439221157,1
37,Headline 37,Jane Smith,Content of news article 37,News Source 2,2019-01-10 00:00:00,76,3360,6,0.4632526234510006,1
38,Headline 38,Jane Smith,Content of news article 38,News Source 1,2019-01-10 06:00:00,16,4947,4,-0.35345784103091926,1
39,Headline 39,Jane Smith,Content of news article 39,News Source 1,2019-01-10 12:00:00,39,3928,5,-0.2734329864355096,1
40,Headline 40,Reporter X,Content of news article 40,News Source 1,2019-01-10 18:00:00,99,1755,13,0.39061161759058916,1
41,Headline 41,Jane Smith,Content of news article 41,News Source 1,2019-01-11 00:00:00,99,3561,2,-0.9979286988655092,0
42,Headline 42,Reporter X,Content of news article 42,News Source 1,2019-01-11 06:00:00,58,4533,7,0.07981663850337006,0
43,Headline 43,Reporter X,Content of news article 43,News Source 1,2019-01-11 12:00:00,76,4865,4,0.7919332297886839,0
44,Headline 44,Jane Smith,Content of news article 44,Blog,2019-01-11 18:00:00,1,1514,8,0.2655937957835135,0
45,Headline 45,Jane Smith,Content of news article 45,News Source 2,2019-01-12 00:00:00,91,3703,4,-0.5294888836903304,1
46,Headline 46,John Doe,Content of news article 46,News Source 2,2019-01-12 06:00:00,69,4556,13,0.45295217809793065,0
47,Headline 47,Jane Smith,Content of news article 47,Blog,2019-01-12 12:00:00,62,2673,8,-0.5607466859266077,0
48,Headline 48,John Doe,Content of news article 48,Independent,2019-01-12 18:00:00,56,3254,7,0.9267094909499425,1
49,Headline 49,Jane Smith,Content of news article 49,Independent,2019-01-13 00:00:00,46,3302,3,-0.7210997722997274,0
50,Headline 50,Anonymous,Content of news article 50,News Source 1,2019-01-13 06:00:00,45,3570,14,-0.9155227925721328,1
51,Headline 51,Jane Smith,Content of news article 51,News Source 1,2019-01-13 12:00:00,60,603,4,-0.2766873529370797,0
52,Headline 52,John Doe,Content of news article 52,News Source 2,2019-01-13 18:00:00,86,3997,1,0.4029317772857528,0
53,Headline 53,John Doe,Content of news article 53,News Source 1,2019-01-14 00:00:00,5,2950,11,-0.786547738277988,0
54,Headline 54,John Doe,Content of news article 54,Blog,2019-01-14 06:00:00,66,4660,1,0.4588753027742989,1
55,Headline 55,John Doe,Content of news article 55,Independent,2019-01-14 12:00:00,42,4266,5,0.09252888358797073,0
56,Headline 56,Anonymous,Content of news article 56,Independent,2019-01-14 18:00:00,9,2474,5,0.37059921189940725,1
57,Headline 57,Anonymous,Content of news article 57,Blog,2019-01-15 00:00:00,41,887,7,0.21794620242739215,1
58,Headline 58,Anonymous,Content of news article 58,News Source 1,2019-01-15 06:00:00,85,28,7,0.22434099983717393,0
59,Headline 59,Jane Smith,Content of news article 59,News Source 1,2019-01-15 12:00:00,70,2710,10,0.9206882199725062,1
60,Headline 60,Anonymous,Content of news article 60,Independent,2019-01-15 18:00:00,78,4723,15,-0.772979153171228,0
61,Headline 61,Jane Smith,Content of news article 61,Independent,2019-01-16 00:00:00,24,703,9,0.6589424835544138,1
62,Headline 62,Anonymous,Content of news article 62,Blog,2019-01-16 06:00:00,45,1021,10,0.11137579448209789,0
63,Headline 63,Jane Smith,Content of news article 63,News Source 2,2019-01-16 12:00:00,79,520,7,0.8756250763467135,1
64,Headline 64,Anonymous,Content of news article 64,News Source 1,2019-01-16 18:00:00,6,150,3,0.5869963254462256,0
65,Headline 65,John Doe,Content of news article 65,News Source 2,2019-01-17 00:00:00,32,114,10,-0.9091554299232221,0
66,Headline 66,Reporter X,Content of news article 66,Blog,2019-01-17 06:00:00,21,2909,8,0.6477147705271027,0
67,Headline 67,Jane Smith,Content of news article 67,Blog,2019-01-17 12:00:00,93,661,2,-0.8398036925293464,0
68,Headline 68,John Doe,Content of news article 68,Independent,2019-01-17 18:00:00,78,749,14,0.05331054284693315,1
69,Headline 69,Reporter X,Content of news article 69,Independent,2019-01-18 00:00:00,71,2545,10,-0.38953190387661896,0
70,Headline 70,Jane Smith,Content of news article 70,News Source 2,2019-01-18 06:00:00,87,2595,9,0.6713635214189493,1
71,Headline 71,Reporter X,Content of news article 71,News Source 1,2019-01-18 12:00:00,12,1711,1,-0.568284407262029,0
72,Headline 72,Reporter X,Content of news article 72,News Source 2,2019-01-18 18:00:00,7,2970,13,-0.2625060602644147,1
73,Headline 73,Jane Smith,Content of news article 73,News Source 1,2019-01-19 00:00:00,16,2043,4,0.9313896641593493,0
74,Headline 74,John Doe,Content of news article 74,News Source 2,2019-01-19 06:00:00,48,4833,1,-0.4557002999073063,1
75,Headline 75,John Doe,Content of news article 75,News Source 1,2019-01-19 12:00:00,97,142,7,0.41176150743662787,0
76,Headline 76,John Doe,Content of news article 76,Blog,2019-01-19 18:00:00,67,2529,7,-0.6603163023516783,1
77,Headline 77,John Doe,Content of news article 77,News Source 1,2019-01-20 00:00:00,52,4421,5,0.25925495086469774,0
78,Headline 78,Jane Smith,Content of news article 78,News Source 1,2019-01-20 06:00:00,6,4694,10,-0.22818489758497762,0
79,Headline 79,John Doe,Content of news article 79,Independent,2019-01-20 12:00:00,44,1333,8,0.9311790872155885,0
80,Headline 80,John Doe,Content of news article 80,News Source 2,2019-01-20 18:00:00,69,1943,1,-0.8866170880794344,1
81,Headline 81,Reporter X,Content of news article 81,Blog,2019-01-21 00:00:00,2,2386,9,-0.27227954257094433,0
